year,month,day,SCPUE_nov
1993,1,1,29.14599419
1994,1,1,19.31593652
1995,1,1,17.89042767
1996,1,1,9.678707322
1997,1,1,13.36927784
1998,1,1,22.80745389
1999,1,1,16.30158935
2000,1,1,18.17468612
2001,1,1,15.92206816
2002,1,1,11.98992219
2003,1,1,17.70218397
2004,1,1,18.81754084
2005,1,1,17.63882006
2006,1,1,20.34106176
2007,1,1,24.33120816
2008,1,1,31.40466679
2009,1,1,30.95443274
2010,1,1,17.08220218
2011,1,1,16.5467484
2012,1,1,30.67256744
2013,1,1,20.15240985
2014,1,1,11.56386849
2015,1,1,6.108673294
2016,1,1,8.160945028
2017,1,1,8.751403188
2018,1,1,20.54639347
